Number of Blanks,Rank,Name,Platform,Console,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
0,4839,Star Wars The Clone Wars: Republic Heroes,X360,X360,2009,Action,LucasArts,0.18,0.17,0,0.04,0.4
0,4840,Brunswick Pro Bowling,PS2,PS2,2007,Sports,505 Games,0.2,0.15,0,0.05,0.4
0,4841,Mafia II,PC,PC,2010,Action,Take-Two Interactive,0.17,0.17,0,0.06,0.4
0,4842,Rocket Power: Dream Scheme,GBA,GBA,2001,Action,THQ,0.29,0.11,0,0.01,0.4
0,4843,SpongeBob's Truth or Square (US sales),Wii,Wii,2009,Action,THQ,0.38,0.01,0,0,0.4
0,4844,MX vs. ATV Unleashed,XB,XB,2005,Racing,THQ,0.32,0.07,0,0.01,0.4
0,4845,Rampage: Total Destruction,GC,GC,2006,Action,Midway Games,0.31,0.08,0,0.01,0.4
0,4846,Planet 51,DS,DS,2009,Action,Sega,0.22,0.14,0,0.04,0.4
0,4847,The Urbz: Sims in the City,GC,GC,2004,Simulation,Electronic Arts,0.24,0.14,0,0.02,0.4
0,4848,Road Rash: Jailbreak,PS,PS,1999,Racing,Electronic Arts,0.22,0.15,0,0.03,0.4
0,4849,Mother 3,GBA,GBA,2006,Role-Playing,Nintendo,0,0,0.39,0.01,0.4
0,4850,Nicktoons: Freeze Frame Frenzy,GBA,GBA,2004,Action,THQ,0.29,0.11,0,0.01,0.4
0,4851,Diner Dash: Sizzle & Serve,DS,DS,2007,Puzzle,Eidos Interactive,0.34,0.03,0,0.03,0.4
0,4852,Rapala Pro Bass Fishing 2010,X360,X360,2010,Sports,Activision,0.32,0.05,0,0.03,0.4
0,4853,Legends of WrestleMania,X360,X360,2009,Fighting,THQ,0.2,0.16,0,0.04,0.4
0,4854,Wii Sports Club,WiiU,WiiU,2014,Sports,Nintendo,0.19,0.14,0.04,0.03,0.4
0,4855,Tomb Raider: Anniversary,X360,X360,2007,Action,Eidos Interactive,0.12,0.23,0,0.05,0.4
0,4856,You Don't Know Jack,PS,PS,1999,Misc,Vivendi Games,0.22,0.15,0,0.03,0.4
0,4857,Mystery Dungeon: Shiren the Wanderer,SNES,SNES,1995,Role-Playing,ChunSoft,0,0,0.4,0,0.4
0,4858,Sonic Lost World,WiiU,WiiU,2013,Platform,Sega,0.24,0.12,0.01,0.03,0.4
0,4859,Condemned 2: Bloodshot,PS3,PS3,2008,Action,Sega,0.17,0.16,0,0.07,0.4
0,4860,Silent Hill: Homecoming,PS3,PS3,,Action,Konami Digital Entertainment,0.18,0.15,0,0.06,0.4
0,4861,Star Wars: Clone Wars,GC,GC,2002,Shooter,Activision,0.31,0.08,0,0.01,0.4
0,4862,NBA Live 2002,XB,XB,2001,Sports,Electronic Arts,0.35,0.03,0,0.02,0.4
0,4863,Boku no Natsuyasumi,PS,PS,2000,Adventure,Sony Computer Entertainment,0,0,0.37,0.03,0.4
0,4864,Armored Core V,PS3,PS3,2012,Simulation,Namco Bandai Games,0.09,0.04,0.24,0.02,0.4
0,4865,I-Ninja,PS2,PS2,2003,Platform,Sony Computer Entertainment,0.19,0.15,0,0.05,0.4
0,4866,Command & Conquer,PS,PS,1996,Strategy,Virgin Interactive,0.22,0.15,0,0.03,0.4
0,4867,Harvest Moon: Save the Homeland,PS2,PS2,,Simulation,Unknown,0.19,0.15,0,0.05,0.4
0,4868,NBA Jam,PS3,PS3,2010,Sports,Electronic Arts,0.22,0.12,0,0.06,0.4
0,4869,Mass Effect 2,PC,PC,2010,Role-Playing,Electronic Arts,0.01,0.32,0,0.07,0.4
0,4870,SD Gundam G Generation Seed,PS2,PS2,2004,Strategy,Namco Bandai Games,0,0,0.4,0,0.4
0,4871,Call of Duty: Finest Hour,GC,GC,2004,Shooter,Activision,0.31,0.08,0,0.01,0.4
0,4872,Scooby-Doo! and the Spooky Swamp,DS,DS,2010,Action,Warner Bros. Interactive Entertainment,0.26,0.1,0,0.03,0.4
0,4873,Naruto: Path of the Ninja,DS,DS,2007,Role-Playing,D3Publisher,0.37,0,0,0.03,0.4
0,4874,Rise of the Tomb Raider,X360,X360,2015,Adventure,Square Enix,0.17,0.19,0,0.03,0.4
0,4875,Hitman: Blood Money,X360,X360,2006,Action,Eidos Interactive,0.29,0.06,0.01,0.03,0.4
0,4876,Tales of Phantasia,SNES,SNES,1995,Role-Playing,Namco Bandai Games,0,0,0.4,0,0.4
0,4877,Alpha Protocol,X360,X360,2010,Role-Playing,Sega,0.23,0.13,0,0.04,0.4
0,4878,Suzuki TT Superbikes,PS2,PS2,2005,Racing,Jester Interactive,0.33,0.01,0,0.05,0.4
0,4879,Rumble Roses,PS2,PS2,2004,Fighting,Konami Digital Entertainment,0.19,0.15,0,0.05,0.39
0,4880,Just Dance 2014,PS3,PS3,2013,Misc,Ubisoft,0.17,0.15,0,0.07,0.39
0,4881,Fantastic Four: Rise of the Silver Surfer,PS2,PS2,2007,Action,Take-Two Interactive,0.19,0.15,0,0.05,0.39
0,4882,Ultimate Spider-Man,XB,XB,2005,Action,Activision,0.26,0.11,0,0.02,0.39
0,4883,GRID 2,PS3,PS3,2013,Racing,Codemasters,0.07,0.23,0.01,0.09,0.39
0,4884,LEGO The Lord of the Rings,3DS,3DS,2012,Action,Warner Bros. Interactive Entertainment,0.19,0.17,0,0.03,0.39
0,4885,Juiced 2: Hot Import Nights,PS2,PS2,2007,Racing,THQ,0.19,0.15,0.01,0.05,0.39
0,4886,Skylanders: SuperChargers,PS3,PS3,2015,Action,Activision,0.15,0.18,0,0.06,0.39
0,4887,NHL 99,N64,N64,1998,Sports,Electronic Arts,0.38,0.01,0,0,0.39
0,4888,NBA 2K10,Wii,Wii,2009,Sports,Take-Two Interactive,0.36,0,0,0.03,0.39
0,4889,Dungeon Siege III,PS3,PS3,2011,Role-Playing,Square Enix,0.17,0.14,0.03,0.06,0.39
0,4890,Viking: Battle for Asgard,PS3,PS3,2008,Action,Sega,0.14,0.18,0,0.07,0.39
0,4891,Brunswick Pro Bowling,Wii,Wii,2007,Sports,505 Games,0.36,0.01,0,0.03,0.39
0,4892,Monster Jam: Urban Assault,DS,DS,2008,Racing,Activision,0.37,0,0,0.03,0.39
0,4893,Danball Senki,PSP,PSP,2011,Role-Playing,Level 5,0,0,0.39,0,0.39
0,4894,NASCAR Heat,PS,PS,2000,Racing,Hasbro Interactive,0.22,0.15,0,0.03,0.39
0,4895,Bloody Roar,PS,PS,1997,Fighting,Virgin Interactive,0.22,0.15,0,0.03,0.39
0,4896,Bump 'n' Jump,2600,Atari2600,1982,Racing,Mattel Interactive,0.37,0.02,0,0,0.39
0,4897,Mobile Suit Gundam: Lost War Chronicles,PS2,PS2,2002,Shooter,Namco Bandai Games,0,0,0.39,0,0.39
0,4898,Disney's Brother Bear,GBA,GBA,2003,Action,THQ,0.28,0.1,0,0.01,0.39
0,4899,Naruto: Clash of Ninja Revolution 2,Wii,Wii,2008,Fighting,Tomy Corporation,0.34,0.02,0,0.03,0.39
0,4900,NBA Live 09,PS2,PS2,2008,Sports,Electronic Arts,0.32,0.01,0.01,0.05,0.39
0,4901,LEGO Star Wars III: The Clone Wars,PSP,PSP,2011,Action,LucasArts,0.14,0.17,0,0.09,0.39
0,4902,The House of The Dead III,XB,XB,2002,Shooter,Sega,0.29,0.08,0,0.01,0.39
0,4903,Rune Factory: Frontier,Wii,Wii,2008,Role-Playing,Rising Star Games,0.18,0.14,0.04,0.04,0.39
0,4904,Fire Emblem: Fuuin no Tsurugi,GBA,GBA,2002,Role-Playing,Nintendo,0,0,0.39,0,0.39
0,4905,SpongeBob's Truth or Square (US sales),PSP,PSP,2009,Action,THQ,0.39,0,0,0,0.39
0,4906,FIFA 12,3DS,3DS,2011,Sports,Electronic Arts,0.08,0.26,0,0.05,0.39
0,4907,Ener-G: Gym Rockets,DS,DS,2008,Sports,Ubisoft,0.36,0,0,0.03,0.39
0,4908,The Darkness II,X360,X360,2012,Shooter,Take-Two Interactive,0.24,0.12,0,0.03,0.39
0,4909,NBA Live 09,PSP,PSP,2008,Sports,Electronic Arts,0.23,0.07,0.03,0.06,0.39
0,4910,Laser Blast,2600,Atari2600,1981,Action,Activision,0.37,0.02,0,0,0.39
0,4911,Dancing with the Stars: We Dance!,DS,DS,2008,Misc,Activision,0.36,0,0,0.03,0.39
0,4912,LocoRoco,PSP,PSP,2006,Platform,Sony Computer Entertainment,0.14,0.05,0.16,0.04,0.39
0,4913,Thrasher Presents: Skate and Destroy,PS,PS,1998,Sports,Take-Two Interactive,0.22,0.15,0,0.03,0.39
0,4914,Are You Smarter than a 5th Grader? Make the Grade,DS,DS,2008,Misc,THQ,0.36,0,0,0.03,0.39
0,4915,Donkey Konga 2,GC,GC,2004,Misc,Nintendo,0.3,0.08,0,0.01,0.39
0,4916,Just Dance 2014,PS4,PS4,2013,Misc,Ubisoft,0.18,0.16,0,0.05,0.39
0,4917,Metal Gear Solid: The Legacy Collection,PS3,PS3,2013,Adventure,Konami Digital Entertainment,0.31,0.01,0.03,0.05,0.39
0,4918,Tear Ring Saga Yutona Eiyuu Senki,PS,PS,2001,Role-Playing,Enterbrain,0,0,0.37,0.03,0.39
0,4919,Project X Zone,3DS,3DS,2012,Role-Playing,Namco Bandai Games,0.18,0.04,0.15,0.02,0.39
0,4920,Red Faction: Armageddon,X360,X360,2011,Shooter,THQ,0.18,0.17,0.01,0.04,0.39
0,4921,Wipeout 2048,PSV,PSV,2012,Racing,Sony Computer Entertainment,0.14,0.19,0,0.06,0.39
0,4922,Need for Speed: Nitro,DS,DS,2009,Racing,Electronic Arts,0.22,0.13,0,0.04,0.39
0,4923,Mystery Case Files: The Malgrave Incident,Wii,Wii,2011,Adventure,Nintendo,0.19,0.17,0,0.03,0.39
0,4924,Yoshi Touch & Go,DS,DS,2005,Platform,Nintendo,0.34,0.02,0,0.03,0.39
0,4925,EA Sports Active 2,X360,X360,2010,Sports,Electronic Arts,0.18,0.17,0,0.04,0.39
0,4926,Combat of Giants: Dinosaurs 3D,3DS,3DS,2011,Strategy,Ubisoft,0.25,0.06,0.05,0.03,0.39
0,4927,Taiko no Tatsujin Wii: Ketteiban,Wii,Wii,2011,Misc,Namco Bandai Games,0,0,0.39,0,0.39
0,4928,Age of Empires III,PC,PC,2005,Strategy,Microsoft Game Studios,0,0.32,0,0.07,0.39
0,4929,SSX 3,XB,XB,2003,Sports,Electronic Arts,0.29,0.08,0,0.01,0.39
0,4930,MLB 15: The Show,PS3,PS3,2015,Sports,Sony Computer Entertainment,0.3,0.01,0,0.07,0.39
0,4931,Madden NFL 2005,GBA,GBA,2004,Sports,Electronic Arts,0.28,0.1,0,0.01,0.39
0,4932,All-Star Baseball 2000,N64,N64,1999,Sports,Acclaim Entertainment,0.36,0.03,0,0,0.39
0,4933,Custom Robo V2,N64,N64,2000,Fighting,Nintendo,0,0,0.34,0.05,0.39
0,4934,Extreme-G: XG2,N64,N64,1998,Racing,Acclaim Entertainment,0.31,0.07,0,0,0.39
0,4935,BattleTanx: Global Assault,N64,N64,1999,Action,3DO,0.31,0.07,0,0,0.39
0,4936,Robert Ludlum's The Bourne Conspiracy,PS3,PS3,,Action,Vivendi Games,0.18,0.14,0,0.06,0.39
0,4937,Chibi-Robo! Plug into Adventure!,GC,GC,2005,Adventure,Nintendo,0.23,0.06,0.09,0.01,0.39
0,4938,Dawn of Discovery,PC,PC,2009,Simulation,Ubisoft,0,0.32,0,0.07,0.39
0,4939,Jampack Winter 2003 (RP-T),PS2,PS2,2003,Misc,Sony Computer Entertainment,0.19,0.15,0,0.05,0.39
0,4940,Dancing with the Stars: We Dance!,Wii,Wii,2008,Misc,Activision,0.36,0,0,0.03,0.39
0,4941,Kengo: Master of Bushido,PS2,PS2,2000,Fighting,Ubisoft,0.16,0.13,0.06,0.04,0.39
0,4942,Blood Omen 2,PS2,PS2,2002,Action,Eidos Interactive,0.19,0.15,0,0.05,0.39
0,4943,Sesame Street: Elmo's A-to-Zoo Adventure,Wii,Wii,2010,Misc,Warner Bros. Interactive Entertainment,0.37,0,0,0.02,0.39
0,4944,Skylanders Giants,WiiU,WiiU,2012,Action,Activision,0.23,0.12,0,0.04,0.39
0,4945,Just Dance 4,WiiU,WiiU,2012,Misc,Ubisoft,0.22,0.14,0,0.03,0.39
0,4946,Super Fire ProWrestling,SNES,SNES,1991,Fighting,Human Entertainment,0,0,0.39,0,0.39
0,4947,Cabela's Dangerous Hunts 2,PS2,PS2,2005,Sports,Activision,0.19,0.15,0,0.05,0.39
0,4948,Marvel: Ultimate Alliance,PS3,PS3,2006,Role-Playing,Activision,0.33,0.02,0,0.04,0.39
0,4949,SpongeBob vs The Big One: Beach Party Cook Off,DS,DS,2009,Adventure,THQ,0.24,0.11,0,0.04,0.39
0,4950,MotoGP 08,PS3,PS3,2008,Racing,Capcom,0.07,0.24,0,0.08,0.39
0,4951,Imagine: Party Babyz,Wii,Wii,2008,Simulation,Ubisoft,0.34,0.02,0,0.03,0.39
0,4952,Chessmaster,PS2,PS2,2003,Misc,Ubisoft,0.19,0.15,0,0.05,0.39
0,4953,Tiger Woods PGA Tour 14,PS3,PS3,2013,Sports,Electronic Arts,0.16,0.15,0,0.07,0.39
0,4954,Fatal Fury,SNES,SNES,1992,Fighting,Takara,0,0,0.39,0,0.39
0,4955,Farming Simulator 2013,X360,X360,2013,Simulation,Focus Home Interactive,0.22,0.13,0,0.03,0.39
0,4956,From TV Animation One Piece: Yume no Lufy Kaizokudan Tanjou!,GB,GB,2001,Role-Playing,Banpresto,0,0,0.39,0,0.39
0,4957,The Dog Island,Wii,Wii,2007,Adventure,Ubisoft,0.35,0.01,0,0.03,0.39
0,4958,Madden NFL Football,3DS,3DS,2011,Sports,Electronic Arts,0.36,0.01,0,0.03,0.39
0,4959,The Sims 2,GBA,GBA,2005,Simulation,Electronic Arts,0.28,0.1,0,0.01,0.39
0,4960,Ice Age 2: The Meltdown,PS2,PS2,2006,Platform,Vivendi Games,0.19,0.15,0,0.05,0.39
0,4961,MLB 14: The Show,PS3,PS3,2014,Sports,Sony Computer Entertainment America,0.35,0,0,0.04,0.39
0,4962,Super Famista 3,SNES,SNES,1994,Sports,Namco Bandai Games,0,0,0.39,0,0.39
0,4963,Auto Modellista,PS2,PS2,2002,Racing,Capcom,0.19,0.15,0,0.05,0.39
0,4964,Tom Clancy's Ghost Recon 2: Summit Strike,XB,XB,2005,Shooter,Ubisoft,0.29,0.08,0,0.01,0.39
0,4965,Junior Classic Games,DS,DS,2009,Misc,Avanquest,0.26,0.09,0,0.03,0.39
0,4966,Hooked! Again: Real Motion Fishing,Wii,Wii,2009,Sports,505 Games,0.36,0,0,0.03,0.39
0,4967,Tiger Woods PGA Tour 08,PS2,PS2,2007,Sports,Electronic Arts,0.19,0.15,0,0.05,0.39
0,4968,Karaoke Revolution Presents American Idol Encore,PS2,PS2,2008,Misc,Konami Digital Entertainment,0.19,0.15,0,0.05,0.39
0,4969,Airlock,2600,Atari2600,1981,Action,Data Age,0.36,0.02,0,0,0.39
0,4970,Tokimeki Memorial 2,PS,PS,1999,Simulation,Konami Digital Entertainment,0,0,0.36,0.03,0.39
0,4971,Samurai Warriors Chronicles,3DS,3DS,2011,Action,Tecmo Koei,0.12,0.05,0.2,0.01,0.39
0,4972,Tomb Raider: Legend,X360,X360,2006,Action,Eidos Interactive,0.27,0.08,0.01,0.03,0.39
0,4973,Ice Age: Dawn of the Dinosaurs,DS,DS,2009,Action,Activision,0.2,0.15,0,0.04,0.39
0,4974,Dance Party: Pop Hits,Wii,Wii,2009,Misc,Nordic Games,0,0.36,0,0.02,0.39
0,4975,Harry Potter: Quidditch World Cup,GBA,GBA,2003,Sports,Electronic Arts,0.28,0.1,0,0.01,0.39
0,4976,Jam Sessions: Sing and Play Guitar (US sales),DS,DS,2007,Misc,Ubisoft,0.38,0,0,0,0.38
0,4977,Saints Row IV,PS4,PS4,2015,Action,Deep Silver,0.13,0.17,0.03,0.06,0.38
0,4978,Evil Dead: Fistfull of Boomstick,PS2,PS2,2003,Action,THQ,0.19,0.15,0,0.05,0.38
0,4979,One Piece: Unlimited World Red,3DS,3DS,2013,Action,Namco Bandai Games,0.05,0.04,0.28,0.01,0.38
0,4980,Phantasy Star Ø,DS,DS,2008,Role-Playing,Sega,0.16,0,0.2,0.01,0.38
0,4981,Triple Play 97,PS,PS,1996,Sports,Electronic Arts Victor,0.21,0.15,0,0.03,0.38
0,4982,Virtua Tennis 2009,PS3,PS3,2009,Sports,Sega,0.09,0.23,0,0.07,0.38
0,4983,Super Soccer,SNES,SNES,1991,Sports,Nintendo,0,0,0.38,0,0.38
0,4984,Shin Megami Tensei: Nocturne,PS2,PS2,2003,Role-Playing,Ghostlight,0.07,0.05,0.25,0.02,0.38
0,4985,Wario Land II (GBC),GB,GB,1998,Platform,Nintendo,0,0,0.38,0,0.38
0,4986,San Francisco Rush: Extreme Racing,PS,PS,1997,Racing,GT Interactive,0.21,0.15,0,0.03,0.38
0,4987,Dragon's Crown,PSV,PSV,2013,Role-Playing,Nippon Ichi Software,0.16,0.05,0.12,0.05,0.38
0,4988,Bakusou Dekotora Densetsu: Otoko Ippiki Yume Kaidoi,PS,PS,1998,Racing,Human Entertainment,0,0,0.36,0.03,0.38
0,4989,Imagine: Salon Stylist,DS,DS,2009,Simulation,Ubisoft,0.24,0.11,0,0.04,0.38
0,4990,ESPN College Hoops 2K5,XB,XB,2004,Sports,Sega,0.29,0.08,0,0.01,0.38
0,4991,Looney Tunes: Acme Arsenal,PS2,PS2,2007,Action,Warner Bros. Interactive Entertainment,0.19,0.15,0,0.05,0.38
0,4992,Cabela's Dangerous Hunts 2009,Wii,Wii,2008,Sports,Activision Value,0.36,0,0,0.03,0.38
0,4993,Fragile Dreams: Farewell Ruins of the Moon,Wii,Wii,2009,Role-Playing,Rising Star Games,0.17,0.12,0.06,0.03,0.38
0,4994,SD Gundam G Generation Spirits,PS2,PS2,2007,Strategy,Namco Bandai Games,0,0,0.38,0,0.38
0,4995,Batman: Arkham City,WiiU,WiiU,2012,Action,Warner Bros. Interactive Entertainment,0.17,0.18,0,0.03,0.38
0,4996,Disney Sing It,PS3,PS3,2008,Misc,Disney Interactive Studios,0.27,0.07,0,0.04,0.38
0,4997,Peppa Pig: The Game,Wii,Wii,2009,Misc,Pinnacle,0,0.35,0,0.03,0.38
0,4998,God Eater 2: Rage Burst,PSV,PSV,2015,Role-Playing,Namco Bandai Games,0,0.01,0.37,0,0.38
0,4999,Get Fit with Mel B,PS3,PS3,2010,Sports,Black Bean Games,0.15,0.17,0,0.07,0.38
0,5000,The Cat in the Hat,GBA,GBA,2005,Platform,Jack of All Games,0.27,0.1,0,0.01,0.38
0,5001,Naruto Shippuden: Ultimate Ninja Heroes 3,PSP,PSP,2009,Fighting,Namco Bandai Games,0.13,0.04,0.19,0.03,0.38
0,5002,NFL GameDay 2002,PS2,PS2,2001,Sports,Sony Computer Entertainment,0.19,0.15,0,0.05,0.38
0,5003,Turok: Evolution,GC,GC,2002,Shooter,Acclaim Entertainment,0.3,0.08,0,0.01,0.38
0,5004,Destiny: The Taken King,X360,X360,2015,Shooter,Activision,0.22,0.12,0,0.03,0.38
0,5005,Tamagotchi Connection: Corner Shop 3,DS,DS,2007,Simulation,Atari,0.07,0,0.31,0.01,0.38
0,5006,Mobile Suit Gundam: Giren no Yabou Zeon Dokuritsu Sensouden,PS2,PS2,2002,Strategy,Namco Bandai Games,0,0,0.38,0,0.38
0,5007,Ice Age,GBA,GBA,2002,Action,Ubisoft,0.27,0.1,0,0.01,0.38
0,5008,Sega Superstars Tennis,PS2,PS2,2008,Sports,Sega,0.1,0,0,0.28,0.38
0,5009,Headhunter,PS2,PS2,2002,Action,Sega,0.19,0.15,0,0.05,0.38
0,5010,Skate,PS3,PS3,2007,Sports,Electronic Arts,0.29,0.05,0,0.04,0.38
0,5011,Shin Megami Tensei: Devil Summoner,SAT,SAT,1995,Role-Playing,Atlus,0,0,0.38,0,0.38
0,5012,Raving Rabbids: Travel in Time 3D,3DS,3DS,2011,Platform,Ubisoft,0.11,0.23,0,0.04,0.38
0,5013,NCAA Football 08,PS3,PS3,2007,Sports,Electronic Arts,0.35,0,0,0.03,0.38
0,5014,Marvel Nemesis: Rise of the Imperfects,GC,GC,2005,Fighting,Electronic Arts,0.3,0.08,0,0.01,0.38
0,5015,NHL 15,PS3,PS3,2014,Sports,Electronic Arts,0.21,0.11,0,0.06,0.38
0,5016,ESPN Extreme Games,PS,PS,1994,Sports,Sony Computer Entertainment,0.11,0.08,0.17,0.03,0.38
0,5017,Forza Horizon 3,XOne,XOne,2016,Racing,Microsoft Game Studios,0.15,0.2,0,0.03,0.38
0,5018,Overlord: Dark Legend,Wii,Wii,2009,Action,Codemasters,0.12,0.22,0,0.04,0.38
0,5019,Ninja: Shadow of Darkness,PS,PS,1998,Action,Eidos Interactive,0.21,0.14,0,0.02,0.38
0,5020,SD Gundam G Generation-F,PS,PS,2000,Strategy,Namco Bandai Games,0,0,0.36,0.02,0.38
0,5021,Bratz: Rock Angelz,PS2,PS2,2005,Misc,THQ,0.19,0.15,0,0.05,0.38
0,5022,FlatOut,PS2,PS2,2004,Racing,Empire Interactive,0.19,0.15,0,0.05,0.38
0,5023,Phoenix Wright: Ace Attorney - Dual Destinies,3DS,3DS,2013,Adventure,Capcom,0,0,0.38,0,0.38
0,5024,SSX 3,GC,GC,2003,Sports,Electronic Arts,0.29,0.08,0,0.01,0.38
0,5025,NCAA Football 11,PS2,PS2,2010,Sports,Electronic Arts,0.19,0.15,0,0.05,0.38
0,5026,Tales of Zestiria,PS4,PS4,2015,Role-Playing,Namco Bandai Games,0.16,0.15,0.02,0.06,0.38
0,5027,Lilo & Stitch 2: Hämsterviel Havoc,GBA,GBA,2004,Action,Disney Interactive Studios,0.27,0.1,0,0.01,0.38
0,5028,Metal Gear Solid: Snake Eater 3D,3DS,3DS,2012,Action,Konami Digital Entertainment,0.15,0.11,0.1,0.02,0.38
0,5029,Risk: Global Domination,PS2,PS2,2003,Strategy,Atari,0.19,0.15,0,0.05,0.38
0,5030,Elite Beat Agents,DS,DS,2006,Misc,Nintendo,0.31,0.03,0,0.03,0.38
0,5031,NBA 2K7,PS3,PS3,2006,Sports,Take-Two Interactive,0.3,0.04,0,0.04,0.38
0,5032,Mobile Suit Gundam version 2.0,PS,PS,1996,Action,Namco Bandai Games,0,0,0.36,0.02,0.38
0,5033,Grandia Xtreme,PS2,PS2,2002,Role-Playing,Enix Corporation,0.07,0.05,0.25,0.02,0.38
0,5034,Silent Scope,PS2,PS2,2000,Shooter,Konami Digital Entertainment,0.19,0.15,0,0.05,0.38
0,5035,Final Fantasy Adventure,GB,GB,1991,Role-Playing,SquareSoft,0,0,0.38,0,0.38
0,5036,Virtua Tennis 2009,Wii,Wii,2009,Sports,Sega,0.13,0.21,0,0.04,0.38
0,5037,Dora The Explorer: Dora Saves the Snow Princess,PS2,PS2,2008,Platform,Take-Two Interactive,0.19,0.15,0,0.05,0.38
0,5038,The Incredible Hulk,PS2,PS2,2008,Action,Sega,0.32,0.01,0,0.05,0.38
0,5039,Mercenaries 2: World in Flames,PS2,PS2,2008,Shooter,Electronic Arts,0.21,0,0,0.17,0.38
0,5040,Cabela's Big Game Hunter 2012,Wii,Wii,2011,Sports,Activision,0.34,0.02,0,0.02,0.38
0,5041,EA Sports MMA,PS3,PS3,2010,Fighting,Electronic Arts,0.16,0.15,0.01,0.06,0.38
0,5042,Iron Man 2,PSP,PSP,2010,Action,Sega,0.18,0.12,0,0.07,0.38
0,5043,DiRT 2,Wii,Wii,2009,Racing,Codemasters,0.11,0.23,0,0.04,0.38
0,5044,Tokimeki Memorial: Forever with You,SAT,SAT,1996,Simulation,Konami Digital Entertainment,0,0,0.38,0,0.38
0,5045,MediEvil II,PS,PS,1999,Action,Sony Computer Entertainment,0.21,0.14,0,0.02,0.38
0,5046,Guitar Hero On Tour: Modern Hits,DS,DS,2009,Misc,Activision,0.13,0.2,0,0.04,0.38
0,5047,Hunter: The Reckoning,XB,XB,2002,Action,Interplay,0.28,0.08,0,0.01,0.38
0,5048,MX vs. ATV Untamed,PS2,PS2,2007,Racing,THQ,0.32,0.01,0,0.05,0.38
0,5049,Rogue Trip: Vacation 2012,PS,PS,1998,Racing,GT Interactive,0.21,0.14,0,0.02,0.38
0,5050,Dai-4-Ji Super Robot Taisen,SNES,SNES,1995,Strategy,Banpresto,0,0,0.38,0,0.38
0,5051,Tiger Woods PGA Tour 08,PSP,PSP,2007,Sports,Electronic Arts,0.14,0.15,0,0.09,0.38
0,5052,Pokemon Channel,GC,GC,2003,Adventure,Nintendo,0.24,0.06,0.07,0.01,0.38
0,5053,Taiko no Tatsujin Portable DX,PSP,PSP,2011,Misc,Namco Bandai Games,0,0,0.38,0,0.38
0,5054,Etrian Odyssey IV: Legends of the Titans,3DS,3DS,2012,Role-Playing,Atlus,0.12,0.05,0.2,0.01,0.38
0,5055,Moto Racer World Tour,PS,PS,2000,Racing,Sony Computer Entertainment,0.21,0.14,0,0.02,0.38
0,5056,NCAA Final Four 2000,PS,PS,1999,Sports,989 Sports,0.21,0.14,0,0.02,0.38
0,5057,Scribblenauts: Unlimited,WiiU,WiiU,2012,Action,Warner Bros. Interactive Entertainment,0.26,0.09,0,0.03,0.38
0,5058,FIFA 17,PS3,PS3,2016,Sports,Electronic Arts,0.02,0.29,0.01,0.05,0.38
0,5059,Saints Row: The Third,PC,PC,2011,Action,THQ,0.16,0.16,0,0.06,0.38
0,5060,Just Dance 2015,PS4,PS4,2014,Misc,Ubisoft,0.19,0.13,0,0.06,0.38
0,5061,Madagascar: Escape 2 Africa,PS2,PS2,2008,Action,Activision,0.12,0,0,0.26,0.38
0,5062,ZhuZhu Pets: Featuring The Wild Bunch,Wii,Wii,2010,Simulation,Activision,0.32,0.03,0,0.03,0.38
0,5063,Hangman,2600,Atari2600,,Puzzle,Atari,0.35,0.02,0,0,0.38
0,5064,Petz Rescue: Wildlife Vet,DS,DS,2008,Simulation,Ubisoft,0.35,0,0,0.03,0.38
0,5065,Green Day: Rock Band,Wii,Wii,2010,Misc,MTV Games,0.22,0.12,0,0.03,0.38
0,5066,Gravitar,2600,Atari2600,1982,Action,Atari,0.35,0.02,0,0,0.38
0,5067,Monster Jam: Path of Destruction,DS,DS,2010,Racing,Activision,0.35,0,0,0.02,0.38
0,5068,Toukiden: The Age of Demons,PSV,PSV,2013,Action,Tecmo Koei,0.05,0.05,0.25,0.03,0.38
0,5069,EyeToy Play 2,PS2,PS2,2004,Misc,Sony Computer Entertainment,0.18,0.14,0,0.05,0.38
0,5070,Dance Dance Revolution Ultramix 3,XB,XB,2005,Simulation,Konami Digital Entertainment,0.28,0.08,0,0.01,0.38
0,5071,Mobile Suit Gundam: Extreme VS Full Boost,PS3,PS3,2014,Fighting,Namco Bandai Games,0,0,0.38,0,0.38
0,5072,WWE SmackDown vs. Raw 2011,PS2,PS2,2010,Fighting,THQ,0.24,0.07,0,0.07,0.38
0,5073,Need for Speed: Hot Pursuit,PC,PC,2010,Racing,Electronic Arts,0.12,0.2,0,0.06,0.38
0,5074,The Legend of Spyro: A New Beginning,DS,DS,2006,Platform,Vivendi Games,0.34,0.01,0,0.03,0.38
0,5075,Pro Evolution Soccer 2011 3D,3DS,3DS,2011,Sports,Konami Digital Entertainment,0.11,0.13,0.11,0.02,0.38
0,5076,Shin Megami Tensei: Devil Survivor Overclocked,3DS,3DS,2011,Role-Playing,Ghostlight,0.28,0.01,0.06,0.02,0.38
0,5077,Dragon Ball Z: Attack of the Saiyans,DS,DS,2009,Role-Playing,Namco Bandai Games,0.13,0.02,0.21,0.01,0.38
